compressor,threshold,perplexity,summary_frac,tokens_per_sec,token_1_ppl,token_2_ppl,token_3_ppl,token_4_ppl,token_5_ppl,token_6_ppl,token_7_ppl,token_8_ppl,token_9_ppl,token_10_ppl,token_11_ppl,token_12_ppl,token_13_ppl,token_14_ppl,token_15_ppl,token_16_ppl,token_17_ppl,token_18_ppl,token_19_ppl,token_20_ppl,token_21_ppl,token_22_ppl,token_23_ppl,token_24_ppl,token_25_ppl,token_26_ppl,token_27_ppl,token_28_ppl,token_29_ppl,token_30_ppl,token_31_ppl,token_32_ppl,token_33_ppl,token_34_ppl,token_35_ppl,token_36_ppl,token_37_ppl,token_38_ppl,token_39_ppl,token_40_ppl,token_41_ppl,token_42_ppl,token_43_ppl,token_44_ppl,token_45_ppl,token_46_ppl,token_47_ppl,token_48_ppl,token_49_ppl,token_50_ppl,token_51_ppl,token_52_ppl,token_53_ppl,token_54_ppl,token_55_ppl,token_56_ppl,token_57_ppl,token_58_ppl,token_59_ppl,token_60_ppl,token_61_ppl,token_62_ppl,token_63_ppl,token_64_ppl,token_65_ppl,token_66_ppl,token_67_ppl,token_68_ppl,token_69_ppl,token_70_ppl,token_71_ppl,token_72_ppl,token_73_ppl,token_74_ppl,token_75_ppl,token_76_ppl,token_77_ppl,token_78_ppl,token_79_ppl,token_80_ppl,token_81_ppl,token_82_ppl,token_83_ppl,token_84_ppl,token_85_ppl,token_86_ppl,token_87_ppl,token_88_ppl,token_89_ppl,token_90_ppl,token_91_ppl,token_92_ppl,token_93_ppl,token_94_ppl,token_95_ppl,token_96_ppl,token_97_ppl,token_98_ppl,token_99_ppl,token_100_ppl,token_101_ppl,token_102_ppl,token_103_ppl,token_104_ppl,token_105_ppl,token_106_ppl,token_107_ppl,token_108_ppl,token_109_ppl,token_110_ppl,token_111_ppl,token_112_ppl,token_113_ppl,token_114_ppl,token_115_ppl,token_116_ppl,token_117_ppl,token_118_ppl,token_119_ppl,token_120_ppl,token_121_ppl,token_122_ppl,token_123_ppl,token_124_ppl,token_125_ppl,token_126_ppl,token_127_ppl,token_128_ppl
random,0.01,1487.0,0.014423076923076924,14.574561752079003,6.078125,13.59375,281.75,212.625,178.375,143.875,232.625,164.875,174.25,214.25,199.75,310.5,379.0,498.25,508.0,564.5,441.25,510.0,589.5,637.0,522.0,675.5,1067.0,837.5,725.0,670.5,824.5,777.5,824.5,895.0,916.5,812.0,990.5,983.0,1010.5,1080.0,1055.0,1163.0,1323.0,1204.0,1172.0,1219.0,1252.0,1167.0,1262.0,1292.0,1177.0,1257.0,1297.0,1200.0,1287.0,1458.0,1621.0,1589.0,1540.0,1511.0,1419.0,1419.0,1397.0,1302.0,1338.0,1553.0,1653.0,1571.0,1517.0,1470.0,1540.0,1458.0,1441.0,1453.0,1493.0,1528.0,1505.0,1436.0,1430.0,1436.0,1559.0,1453.0,1493.0,1534.0,1447.0,1375.0,1344.0,1333.0,1287.0,1312.0,1287.0,1307.0,1257.0,1262.0,1238.0,1297.0,1333.0,1354.0,1277.0,1323.0,1333.0,1272.0,1219.0,1228.0,1267.0,1248.0,1318.0,1328.0,1386.0,1323.0,1328.0,1375.0,1333.0,1323.0,1338.0,1354.0,1365.0,1318.0,1365.0,1386.0,1397.0,1365.0,1419.0,1487.0,1505.0,1499.0,1505.0,1547.0,1499.0,1511.0,1517.0,1487.0
random,0.02,1272.0,0.07091346153846154,15.50373007159866,7.8671875,41.53125,356.0,414.5,347.75,248.5,345.0,240.0,232.625,286.0,267.75,421.25,500.0,657.5,634.5,694.5,536.5,617.5,716.5,730.5,587.0,733.5,1127.0,891.5,796.0,733.5,891.5,824.5,898.5,1002.5,1014.0,895.0,1110.0,1092.0,1136.0,1243.0,1223.0,1370.0,1481.0,1375.0,1318.0,1375.0,1408.0,1292.0,1414.0,1441.0,1312.0,1370.0,1403.0,1318.0,1386.0,1534.0,1692.0,1621.0,1583.0,1505.0,1419.0,1414.0,1397.0,1307.0,1333.0,1553.0,1640.0,1534.0,1493.0,1464.0,1470.0,1392.0,1381.0,1386.0,1403.0,1419.0,1386.0,1318.0,1312.0,1328.0,1414.0,1328.0,1344.0,1381.0,1312.0,1248.0,1223.0,1204.0,1158.0,1177.0,1149.0,1172.0,1127.0,1123.0,1110.0,1154.0,1149.0,1177.0,1110.0,1131.0,1145.0,1097.0,1059.0,1063.0,1084.0,1071.0,1127.0,1136.0,1177.0,1123.0,1127.0,1158.0,1145.0,1136.0,1158.0,1167.0,1181.0,1149.0,1181.0,1200.0,1214.0,1195.0,1248.0,1302.0,1292.0,1287.0,1287.0,1302.0,1282.0,1292.0,1292.0,1267.0
random,0.05,1528.0,0.6063701923076923,16.32840788556672,7.1953125,152.5,964.0,670.5,536.5,341.0,310.5,215.125,234.375,262.5,251.5,349.25,392.5,502.0,582.5,691.5,562.5,625.0,705.5,864.0,719.0,895.0,1365.0,1092.0,968.0,912.5,1114.0,1034.0,1136.0,1277.0,1349.0,1195.0,1430.0,1386.0,1436.0,1523.0,1447.0,1627.0,1732.0,1608.0,1505.0,1511.0,1534.0,1414.0,1511.0,1511.0,1408.0,1436.0,1430.0,1375.0,1392.0,1540.0,1608.0,1627.0,1627.0,1646.0,1559.0,1577.0,1528.0,1430.0,1493.0,1692.0,1829.0,1766.0,1685.0,1633.0,1739.0,1666.0,1621.0,1602.0,1602.0,1621.0,1608.0,1499.0,1458.0,1447.0,1559.0,1453.0,1505.0,1608.0,1493.0,1436.0,1419.0,1397.0,1365.0,1414.0,1403.0,1441.0,1386.0,1370.0,1328.0,1375.0,1403.0,1425.0,1338.0,1359.0,1370.0,1297.0,1257.0,1262.0,1302.0,1272.0,1318.0,1359.0,1458.0,1414.0,1425.0,1476.0,1425.0,1403.0,1436.0,1464.0,1470.0,1441.0,1493.0,1517.0,1517.0,1499.0,1523.0,1583.0,1596.0,1559.0,1523.0,1602.0,1559.0,1565.0,1583.0,1540.0
random,0.1,2980.0,0.9158653846153846,16.58015199426492,19.015625,177.625,2206.0,1476.0,960.0,587.0,555.5,422.75,429.5,526.0,492.25,622.5,783.5,938.0,987.0,1088.0,871.0,844.0,987.0,1110.0,895.0,1123.0,1692.0,1365.0,1272.0,1114.0,1458.0,1414.0,1653.0,1940.0,2001.0,1719.0,2148.0,2268.0,2242.0,2358.0,2216.0,2276.0,2590.0,2376.0,2276.0,2376.0,2530.0,2358.0,2550.0,2570.0,2396.0,2500.0,2560.0,2376.0,2590.0,2866.0,2958.0,2878.0,2822.0,3004.0,2768.0,2844.0,2790.0,2610.0,2662.0,3148.0,3404.0,3274.0,3100.0,3028.0,3300.0,3124.0,3028.0,3100.0,3148.0,3148.0,3198.0,2958.0,2866.0,2980.0,3274.0,3028.0,3124.0,3224.0,3052.0,2890.0,2812.0,2844.0,2682.0,2682.0,2694.0,2736.0,2620.0,2672.0,2630.0,2704.0,2768.0,2822.0,2672.0,2704.0,2714.0,2600.0,2510.0,2540.0,2610.0,2570.0,2662.0,2746.0,2900.0,2746.0,2714.0,2790.0,2756.0,2746.0,2778.0,2800.0,2800.0,2714.0,2790.0,2812.0,2844.0,2756.0,2822.0,2946.0,2934.0,2900.0,2890.0,3052.0,3004.0,3028.0,3076.0,2958.0
random,0.2,2472.0,0.9813701923076923,17.104937499838826,210.125,3950.0,8104.0,3512.0,2268.0,1030.0,1190.0,678.5,608.0,909.0,683.5,768.5,1002.5,1338.0,1447.0,1523.0,1190.0,1214.0,1228.0,1214.0,1022.0,1302.0,1858.0,1517.0,1441.0,1323.0,1547.0,1414.0,1608.0,1808.0,1732.0,1540.0,1732.0,1666.0,1698.0,1858.0,1858.0,2106.0,2386.0,2268.0,2172.0,2224.0,2312.0,2172.0,2294.0,2294.0,2190.0,2258.0,2148.0,2009.0,1986.0,2386.0,2500.0,2462.0,2386.0,2452.0,2268.0,2404.0,2396.0,2268.0,2276.0,2662.0,2878.0,2790.0,2630.0,2540.0,2724.0,2520.0,2472.0,2462.0,2452.0,2510.0,2490.0,2348.0,2358.0,2414.0,2600.0,2396.0,2462.0,2550.0,2386.0,2294.0,2232.0,2216.0,2122.0,2106.0,2064.0,2130.0,2048.0,2082.0,2098.0,2114.0,2138.0,2148.0,2017.0,2072.0,2114.0,2025.0,1932.0,1917.0,1986.0,1978.0,2048.0,2098.0,2232.0,2130.0,2106.0,2190.0,2172.0,2190.0,2232.0,2258.0,2258.0,2190.0,2258.0,2258.0,2304.0,2232.0,2242.0,2442.0,2386.0,2386.0,2404.0,2500.0,2472.0,2520.0,2560.0,2472.0
random,0.5,4074.0,0.9993990384615384,19.980249992083124,1787.0,1659.0,5272.0,3326.0,2714.0,1084.0,1425.0,905.5,1030.0,1375.0,874.5,1200.0,1458.0,1719.0,1829.0,2368.0,2033.0,1844.0,2106.0,2268.0,1910.0,2442.0,2900.0,2520.0,2294.0,2082.0,2490.0,2206.0,2480.0,2640.0,2834.0,2432.0,2934.0,3174.0,3124.0,3596.0,3512.0,3568.0,3918.0,3680.0,3378.0,3512.0,3512.0,3404.0,3378.0,3568.0,3148.0,3486.0,3596.0,3300.0,3326.0,3596.0,3768.0,3680.0,3680.0,4074.0,4042.0,4304.0,4272.0,4012.0,4140.0,4652.0,4952.0,4952.0,4616.0,4512.0,4992.0,4728.0,4840.0,4800.0,4840.0,5072.0,5072.0,4916.0,4952.0,5072.0,5356.0,4992.0,5192.0,5568.0,5152.0,4800.0,4728.0,4840.0,4512.0,4580.0,4512.0,4476.0,4272.0,4272.0,4236.0,4304.0,4204.0,4404.0,4172.0,4236.0,4204.0,4012.0,3828.0,3950.0,4012.0,3950.0,4140.0,3950.0,4172.0,3918.0,3828.0,3950.0,3918.0,3918.0,3980.0,4012.0,4074.0,3918.0,4074.0,4074.0,4108.0,3980.0,4012.0,4204.0,4204.0,4204.0,4204.0,4236.0,4140.0,4172.0,4140.0,4012.0
random,1.0,9624.0,1.0,23.167914023448343,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,60352.0,53248.0,36896.0,35744.0,32048.0,29872.0,21680.0,24000.0,31552.0,22896.0,18848.0,15496.0,17424.0,14448.0,16240.0,17696.0,16496.0,13888.0,16624.0,16496.0,15136.0,15744.0,14784.0,15992.0,17296.0,14904.0,13784.0,14336.0,14672.0,12848.0,12952.0,13048.0,11160.0,11880.0,12352.0,11160.0,11336.0,12744.0,12552.0,12072.0,11520.0,12648.0,11520.0,12352.0,11608.0,10816.0,11072.0,12072.0,13784.0,13256.0,14000.0,13888.0,14672.0,13680.0,12848.0,12952.0,12952.0,13048.0,13152.0,12352.0,12072.0,12456.0,13152.0,11976.0,12848.0,13568.0,12456.0,11608.0,11424.0,12072.0,11424.0,11336.0,11072.0,11424.0,10816.0,10992.0,10904.0,10992.0,10816.0,10736.0,10008.0,10240.0,10320.0,9776.0,9328.0,9472.0,10320.0,9928.0,10088.0,10088.0,10408.0,9848.0,9848.0,10240.0,10160.0,9928.0,10320.0,10488.0,10992.0,10488.0,10904.0,10736.0,10904.0,10568.0,10320.0,10648.0,10568.0,10320.0,10088.0,10408.0,9928.0,9776.0,9928.0,9624.0
mean,0.01,1436.0,0.014423076923076924,15.095526305964237,5.60546875,14.984375,335.75,264.5,241.875,184.75,268.75,187.625,200.5,250.5,230.75,352.0,411.5,538.5,564.5,632.0,494.25,558.0,644.5,686.5,536.5,691.5,1101.0,857.5,762.5,713.5,881.0,821.5,881.0,968.0,987.0,871.0,1055.0,1042.0,1067.0,1149.0,1118.0,1233.0,1370.0,1252.0,1209.0,1252.0,1277.0,1186.0,1272.0,1318.0,1195.0,1267.0,1292.0,1200.0,1287.0,1476.0,1646.0,1602.0,1547.0,1505.0,1408.0,1408.0,1386.0,1292.0,1318.0,1534.0,1627.0,1577.0,1528.0,1464.0,1534.0,1453.0,1425.0,1436.0,1476.0,1499.0,1481.0,1397.0,1375.0,1381.0,1499.0,1408.0,1458.0,1511.0,1414.0,1333.0,1312.0,1312.0,1262.0,1292.0,1267.0,1272.0,1219.0,1233.0,1209.0,1257.0,1277.0,1307.0,1223.0,1262.0,1272.0,1214.0,1172.0,1186.0,1228.0,1209.0,1282.0,1287.0,1344.0,1292.0,1287.0,1328.0,1297.0,1292.0,1323.0,1328.0,1338.0,1292.0,1338.0,1354.0,1375.0,1344.0,1386.0,1447.0,1436.0,1425.0,1436.0,1464.0,1430.0,1436.0,1458.0,1430.0
mean,0.02,1553.0,0.07091346153846154,15.595759825530113,5.7109375,14.78125,310.5,264.5,252.5,189.875,268.75,189.875,206.875,258.5,237.125,363.0,429.5,558.0,608.0,678.5,534.5,598.5,689.0,759.5,594.0,762.5,1195.0,920.0,805.5,751.0,934.5,861.0,912.5,975.5,1002.5,888.0,1080.0,1067.0,1110.0,1209.0,1158.0,1257.0,1381.0,1257.0,1209.0,1252.0,1282.0,1200.0,1287.0,1338.0,1219.0,1282.0,1318.0,1223.0,1307.0,1499.0,1666.0,1627.0,1577.0,1540.0,1441.0,1458.0,1430.0,1328.0,1359.0,1577.0,1672.0,1627.0,1571.0,1505.0,1583.0,1505.0,1476.0,1481.0,1517.0,1528.0,1511.0,1425.0,1403.0,1419.0,1547.0,1453.0,1505.0,1559.0,1464.0,1392.0,1381.0,1375.0,1318.0,1338.0,1312.0,1323.0,1267.0,1287.0,1257.0,1312.0,1338.0,1365.0,1277.0,1323.0,1338.0,1282.0,1238.0,1257.0,1292.0,1272.0,1349.0,1370.0,1430.0,1370.0,1359.0,1414.0,1392.0,1381.0,1419.0,1414.0,1425.0,1370.0,1425.0,1441.0,1464.0,1436.0,1476.0,1553.0,1553.0,1540.0,1547.0,1589.0,1553.0,1553.0,1577.0,1540.0
mean,0.05,1698.0,0.6063701923076923,16.15735895472464,5.5703125,16.203125,318.0,276.25,278.25,202.125,294.0,206.875,223.625,270.75,252.5,373.0,432.75,564.5,620.0,700.0,555.5,613.0,705.5,818.0,649.5,857.5,1333.0,1002.5,884.5,831.0,1022.0,956.5,1010.5,1067.0,1088.0,960.0,1177.0,1195.0,1257.0,1381.0,1297.0,1425.0,1571.0,1436.0,1365.0,1408.0,1430.0,1328.0,1414.0,1470.0,1344.0,1414.0,1447.0,1338.0,1441.0,1653.0,1822.0,1773.0,1725.0,1666.0,1559.0,1577.0,1553.0,1430.0,1458.0,1692.0,1829.0,1759.0,1685.0,1627.0,1692.0,1602.0,1583.0,1577.0,1596.0,1608.0,1608.0,1517.0,1493.0,1523.0,1659.0,1559.0,1621.0,1685.0,1589.0,1523.0,1534.0,1523.0,1464.0,1493.0,1481.0,1499.0,1436.0,1470.0,1441.0,1505.0,1547.0,1577.0,1481.0,1523.0,1559.0,1476.0,1419.0,1425.0,1464.0,1436.0,1517.0,1559.0,1633.0,1547.0,1559.0,1621.0,1596.0,1583.0,1614.0,1608.0,1621.0,1559.0,1596.0,1608.0,1627.0,1583.0,1627.0,1698.0,1719.0,1698.0,1698.0,1759.0,1732.0,1725.0,1746.0,1698.0
